"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","4076","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","2741","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","4027","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0932","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","8788","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1243","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","2977","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","5606","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0197","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1431","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","2983","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","8286","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","7733","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","7994","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0431","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","8600","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1202","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0660","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","3483","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","9187","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","5325","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0332","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1025","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","6792","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0960","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1046","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","3486","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0461","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0277","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0694","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","5323","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0997","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1065","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0778","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0498","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","6882","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0579","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","7348","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0303","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1448","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1024","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","8992","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","5804","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1087","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0975","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","5474","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","3506","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","5627","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0641","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","5815","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0855","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0442","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0640","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0381","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","2898","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","5805","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","7347","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","3482","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1159","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","5497","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1121","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","5326","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0342","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","9255","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0804","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0513","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","5803","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","5962","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0627","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1201","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","2808","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","2297","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","6704","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","8711","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","1647","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","2414","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","2197","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","0663","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","1677","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","8278","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","9158","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","2146","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","5692","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","1751","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","0853","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","1185","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","1279","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","5700","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","8477","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","1117","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","0409","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","5697","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","0837","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","1436","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","4147","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","1889","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","1049","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","0808","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","0351","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","8284","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","2229","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","1444","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","0435","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","3767","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","2896","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","0392","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","2413","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","5684","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","0761","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","5926","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","5687","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","3770","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","6531","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","2137","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","1689","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","5676","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","1711","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","0911","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","0857","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","1287","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","6526","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","1286","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","2149","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","0945","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","2275","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","6484","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","0146","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","2645","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","1221","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","1679","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","2100","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","0952","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","0869","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","1428","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","3832","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","1284","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","1425","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","0609","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","0550","Skeleton","","",NA,NA,NA,1
"Skeleton; complete","royal ontario museum: rom","vertebrate paleontology","1542","Skeleton","","",NA,NA,NA,1
