"Typestatus","Count"
"paratype of <a href=""http://arctos.database.museum/name/etheostoma blennius"">etheostoma blennius</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"paratype of <a href=""http://arctos.database.museum/name/etheostoma collettei"">etheostoma collettei</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"paratype of <a href=""http://arctos.database.museum/name/etheostoma collis"">etheostoma collis</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"paratype of <a href=""http://arctos.database.museum/name/etheostoma denoncourti"">etheostoma denoncourti</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"paratype of <a href=""http://arctos.database.museum/name/etheostoma microlepidum"">etheostoma microlepidum</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>; paratype of <a href=""http://arctos.database.museum/name/etheostoma microlepidum"">etheostoma microlepidum</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"paratype of <a href=""http://arctos.database.museum/name/etheostoma raneyi"">etheostoma raneyi</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"paratype of <a href=""http://arctos.database.museum/name/etheostoma rubrum"">etheostoma rubrum</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"paratype of <a href=""http://arctos.database.museum/name/etheostoma zonale"">etheostoma zonale</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"paratype of <a href=""http://arctos.database.museum/name/ichthyomyzon hubbsi"">ichthyomyzon hubbsi</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"paratype of <a href=""http://arctos.database.museum/name/nothonotus starnesi"">nothonotus starnesi</a>, page 7 in <a href=""http://arctos.database.museum/publication/10006901"">keck and near 2013</a>",2
"paratype of <a href=""http://arctos.database.museum/name/notropis altipinnis neusensis"">notropis altipinnis neusensis</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"paratype of <a href=""http://arctos.database.museum/name/notropis altipinnis tarensis"">notropis altipinnis tarensis</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"paratype of <a href=""http://arctos.database.museum/name/notropis asperifrons"">notropis asperifrons</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
