"Waterbody","Count"
"drainage: colorado river",8
"drainage: lewis run",8
"drainage: mohave r.",8
"drainage: r. maranhao",8
"drainage: san antonio river",8
"estero soldado",8
"gogol r. drainage; nuru r.",8
"gulf of mannar",8
"kapuas r. basin; sungai melawi",8
"kapuas r. basin; sungai tamang",8
"kapuas r. basin; sungai tebelian",8
"lake washington",8
"mahaica cr. basin; maduni cr.",8
"mccloud r.",8
"mugu lagoon",8
"nomormen (??) creek",8
"pansipit r.",8
"pit r.",8
"putah cr.",8
"r. cauca basin; r. viejo",8
"r. dagua basin",8
"r. montaro",8
"r. patia",8
"r. rahue",8
"r. ucayali",8
"ramu river drainage",8
"ribeira chimboto",8
"rodman pond",8
"sacramento r. basin; sacramento r.",8
"san pablo cr.",8
"san simeon bay",8
"st. helena creek",8
"stow lake",8
"suisun bay",8
"tateyama bay",8
"thung maprao basin",8
"utah lake",8
"bahia sebastian vizcaino",7
"bering strait",7
"big cr.",7
"chagres r.",7
"cold cr.",7
"colonia bay",7
"davao gulf",7
"drainage: columbia river",7
"drainage: honey lake",7
"essequibo r. basin; erukin creek",7
"ganges basin; karamjol cr.",7
"garcia r.",7
"gatun r.",7
"goose lake",7
"indian cr.",7
"kahana bay",7
"kapuas r. basin; sungai tawang",7
"katlian bay",7
"kealakekua bay",7
"l. grande",7
"lehn mesi r.",7
"lost r.",7
"meklong basin; huai malai",7
"moreton bay",7
"nujiang (salween) r.",7
"okhotsk sea",7
"orinoco r. basin; laguna el guacimo",7
"pajaro r. basin",7
"perfume r. basin",7
"prisoners cove",7
"quebrada yaguas yacu",7
"r. amazonas basin; lagoa grande",7
"r. amazonas basin; r. pichis",7
"r. amazonas basin; r. solimoes",7
"r. amazonas basin; r. urubamba",7
"r. cassiquiare basin",7
"r. chone basin",7
"r. dagua",7
"r. mayo basin; r. mayo",7
"r. motagua basin; r. motagua",7
"r. santo domingo",7
"r. tiquirito",7
"rangoon r. basin",7
"rio motagua basin; r. motagua",7
"russian r. basin; forsythe cr.",7
"saanich inlet: mill bay",7
"sagami bay",7
"salinas r.",7
"salton sea",7
"san joaquin r. basin; coney island cut",7
"san joaquin r. basin; middle r.",7
"south fork putah creek",7
"southern ocean",7
"tapi r. basin",7
"w bering strait",7
"warm springs cr.",7
"willapa bay",7
"bahia honda",6
"bahia navidad",6
"black river drainage; nasty branch",6
"bojelebung channel",6
"boulder creek",6
"caldera bay",6
"canal zone",6
"chao phrya basin",6
"drainage: ganges",6
"drainage: gualala river",6
"drainage: maranhao r.",6
"drainage: mississippi river",6
"drainage: napa river",6
"drainage: pajaro r.",6
"drainage: rio motagua",6
"drainage: sacramento r.; lake almanor",6
"drainage: salinas r.",6
"drainage: tennessee river (holston)",6
"eagle lake",6
"essequibo r. basin; essequibo river",6
"florida gulf",6
"gogol r.",6
"golfo de panama",6
"guayaquil r.",6
"gulf of aden",6
"gulf of tadjoura",6
"kelantan r. basin",6
"kelsey creek",6
"koro sea",6
"l. cashiboya",6
"lagunitas cr.",6
"lake erie",6
"lembeh strait",6
"lingayan gulf",6
"lower cook inlet",6
"meiro r.",6
"menam basin",6
"middle creek",6
"nasasa bay",6
"nicasio cr.",6
"nushagak bay",6
"quebrada sombrero",6
"r. almendares",6
"r. amazonas basin; gosulimacocha",6
"r. amazonas basin; lago jara (=l. tana?)",6
"r. amazonas basin; r. iniqui",6
"r. araguaia",6
"r. atrato basin; rios sucio & atrato",6
"r. colorado",6
"r. cupe",6
"r. elota",6
"r. essequibo basin?; rupununi pan",6
"r. grande de lipez",6
"r. guanipa",6
"r. guayas basin",6
"r. guayas drainage",6
"r. magdalena basin ; calamar cienega",6
"r. maule basin ; rio loncomilla",6
"r. palacios",6
"r. presidio basin; r. presidio",6
"r. sabanalamar",6
"r. tiete",6
"r. tocantins basin; r. maranhao",6
"redfish bay",6
"rio garuma basin; rio garuma & tributary",6
"rio yumuri drainage; rio yumuri",6
"russian r. basin",6
"sacramento-san joaquin delta",6
"salinas river",6
"salmon cr.",6
"salmon r.",6
"salween r.",6
"silver king cr.",6
"simpson harbor",6
"south fork eel r.",6
"st. george bay",6
"st. vrain r.",6
"sungai bernam drainage",6
"torch lake",6
"tulacay creek",6
"turkey or tippecanoe (lake)",6
"ulelumel bay",6
"warm spring",6
"webber lake",6
"yukon r.",6
"yukon r. basin; yukon r.",6
"agua azeitona",5
"arawa bay",5
"big sur r.",5
"calero reservoir",5
"carquinez strait",5
"columbia r. basin; umatilla r.",5
"columbia r. drainage",5
"congo basin",5
"copco lake",5
"cosumnes river",5
"drainage: mad r.",5
"drainage: parana/de la plata; rio paraguay",5
"drainage: parana/de la plata; rio tiete",5
"drainage: sacramento (?)",5
"drainage: san gabriel river",5
"drainage: san joaquin",5
"drainage: san lorenzo r.",5
"drainage: san simeon creek",5
"drainage: umpqua river",5
"essequibo r.",5
"estero bay",5
"guadalupe cr.",5
"gulf of davao",5
"kapuas r. basin; sungai djentawang",5
"kaweah river",5
"kelantan basin",5
"kelsey cr.",5
"kern r.",5
"lago rinihue",5
"lago titicaca basin; lago umayo",5
"laguna pie de la cuesta",5
"lahontan basin",5
"lake apoyo",5
"lake merritt",5
"lake superior",5
"mad river; great miami river drainage; bokengehalas creek",5
"magdalena r. basin; rio magdalena",5
"mahakam r. drainage",5
"mahnd r.",5
"maipo river basin; rio angustura",5
"makassar strait",5
"mekong basin; huai huang",5
"mowry slough",5
"mutsu bay",5
"nacimiento reservoir",5
"navarro r.",5
"nipa creek",5
"north fork whitewater r.",5
"olney creek",5
"orinoco r. basin; orocopiche r.",5
"orinoco r. basin; rio meta",5
"osaka wan",5
"pajaro river",5
"pine creek",5
"r. amazonas basin; lago sanango",5
"r. amazonas basin; pongo de manseriche",5
"r. amazonas basin; r. chanchomayo",5
"r. amazonas basin; r. crisnejas",5
"r. amazonas basin; r. pachitea",5
"r. amazonas basin; r. paranapura",5
"r. amazonas basin; r. tambopata",5
"r. amazonas basin; rio pacaya",5
"r. amazonas basin; upper r. beni",5
"r. anambo",5
"r. apa basin; arroyo pypucu",5
"r. atrato basin; rio quito into rio atrato",5
"r. barranca alta & r. chanchan",5
"r. de la plata basin",5
"r. desaguadero",5
"r. doce",5
"r. esmeraldas system; r. blanco",5
"r. guapore",5
"r. lemba",5
"r. magdalena basin ; r. bogota",5
"r. maipo basin",5
"r. mariara",5
"r. mulato",5
"r. paraguay drainage",5
"r. patia drainage; r. telembi",5
"r. san juan basin ; r. calima",5
"r. tocantins basin; r. tocantins",5
"r. tur",5
"r. urubamba (r. santa ana)",5
"r. uruguay",5
"rio calle calle basin",5
"rio calle calle basin; rio calle calle",5
"rio do ouro",5
"rio motagua basin; sulphur river",5
"rio patia basin",5
"rio san juan basin; rio san juan",5
"rock cr.",5
"russian r. system; east branch russian r.",5
"sacramento r. drainage; sacramento r.",5
"salinas r. basin",5
"san joaquin r. basin; georgiana slough",5
"san juan r.basin ; r. tado into r. san juan",5
"sangu basin",5
"santa maria lagoon",5
"sebastian vizcaino bay",5
"sittang basin; kha-yein chaung",5
"sittang r. drainage",5
"skoon creek",5
"south fork edisto river drainage; shaws creek",5
"strait of magellan",5
"sungai galas drainage",5
"sungai kelang drainage",5
"tayabas bay",5
"tevai bay",5
"the sound",5
"tokyo bay",5
"waimea bay",5
"wandella lake",5
"wawa r.",5
"williamette r. basin; oswego cr.",5
"yura r.",5
"zayante cr.",5
"alder cr. lagoon",4
"almejas bay",4
"aruka r.",4
"bahia de zihuatanejo",4
"bahia santa maria",4
"baleh r.",4
"bangan-labad r.",4
"baram r. drainage; sungai liting",4
"big chico cr.",4
"big grizzly cr.",4
"big sarasota bay",4
"bradshaw cr.",4
"brickyard pond",4
"burton cr.",4
"cachagua cr.",4
"calaveras reservoir",4
"camotes sea",4
"canal santa cruz",4
"carigara bay",4
"chao phraya r.",4
"columbia river drainage",4
"congo r. basin",4
"congo r. basin; r. lufu",4
"coral sea",4
"cross basin",4
"cross r. basin; cross r.",4
"damas bay",4
"deer creek",4
"douglas lake",4
"drainage: endau",4
"drainage: endau river",4
"drainage: guadalupe creek",4
"drainage: lake valencia",4
"drainage: mojave r.",4
"drainage: napa river/sacramento",4
"drainage: r. orinoco; r. casiquiare",4
"drainage: r. ucayali into r. amazo",4
"drainage: redwood cr.",4
"drainage: rio brazos",4
"drainage: rio grande (=rio bravo)",4
"drainage: rio grande (=rio bravo); r. conchos",4
"drainage: rio grande de santiago",4
"drainage: rio magdalena ?",4
"drainage: russian r.",4
"drainage: sacramento; american river",4
"drainage: savannah river; savannah basin",4
"drainage: tuolumne r.",4
"drakes bay",4
"eagle r.",4
"eel r. basin; broaddus cr.",4
"eel r. basin; dean cr.",4
"endau r. basin",4
"fraser r. system; shushwap lake",4
"ghimel r.",4
"greenwood cr.",4
"gulf of guayaquil",4
"gulf of manaar",4
"gulf of manner",4
"hat creek",4
"heenan lake",4
"highland cr.",4
"hunter cr.",4
"kamishak bay",4
"katama bay",4
"klamath lagoon",4
"klamath r. basin; trinity r.",4
"koi (kei?) creek",4
"kumano-nada",4
"labad r.",4
"lago grande",4
"laguna pasito",4
"lake almanor drainage",4
"lake almanor drainage; goodrich cr.",4
"lake chuzenji",4
"lake masaya",4
"lake sentani",4
"little lake",4
"little stony creek",4
"long valley creek",4
"lower r. santiago",4
"malatgaw r.",4
"mantugil r.",4
"marchall creek",4
"mcmurdo sound",4
"mekong basin; menam kok",4
"milne bay",4
"mobile basin (conasarga r.)",4
"mouth of rio bayamon",4
"mud bay",4
"muertos bay",4
"murphy pond",4
"neah bay",4
"nechako r.",4
"north fork navarro r.",4
"orinoco r. basin; r. tinaquillo",4
"parana/de la plata basin; r. mogi guassu",4
"pole & loomis creeks",4
"port victoria harbor",4
"prosser creek",4
"provo r.",4
"r. amazonas basin; beni r.",4
"r. amazonas basin; lago junin (=chinchaycocha)",4
"r. amazonas basin; r. pacaya",4
"r. amazonas basin; r. tapajos",4
"r. amazonas basin; rio jurua",4
"r. blanco",4
"r. cauca basin; rio quindio (into rio viejo)",4
"r. colorado basin; lower bopi r.",4
"r. cucuana (curuana?)",4
"r. de langui",4
"r. del fosca",4
"r. esmeraldas basin",4
