"dwc.preparations","freq"
"749 in 70% EtOH",1
"7612 in 70% EtOH",1
"762 in 70% EtOH",1
"77 in 70% EtOH; 5 in C&S",1
"781 in 70% EtOH",1
"8 in 70% EtOH; 1 in C&S",1
"8 in 70% EtOH; 1 in skeleton",1
"8 in 70% EtOH; 15 in 95% EtOH",1
"8 in 70% EtOH; 2 in 95% EtOH",1
"8 in 70% EtOH; 5 in 95% EtOH",1
"811 in 70% EtOH",1
"82 in 70% EtOH; 2 in C&S",1
"824 in 70% EtOH",1
"842 in 70% EtOH",1
"856 in 70% EtOH",1
"869 in 70% EtOH",1
"87 in 70% EtOH; 4 in 95% EtOH",1
"9 in 70% EtOH; 1 in 95% EtOH",1
"9 in 70% EtOH; 1 in C&S",1
"9 in 70% EtOH; 3 in 95% EtOH",1
"9 in 70% EtOH; 3 in C&S",1
"9 in 70% EtOH; 7 in 95% EtOH",1
"9 in 70% EtOH; 8 in 95% EtOH",1
"90 in 70% EtOH; 10 in C&S",1
"90 in 70% EtOH; 5 in C&S",1
"91 in 70% EtOH; 2 in C&S",1
"94 in 70% EtOH; 2 in C&S",1
"960 in 70% EtOH",1
"989 in 70% EtOH",1
"99 in 70% EtOH; 2 in 95% EtOH",1
"99 in 70% EtOH; 2 in C&S",1
