"dwc.preparations","freq"
"EtOH - 370",3
"EtOH - 38; C&S - 2",3
"EtOH - 38; C&S - 5",3
"EtOH - 388",3
"EtOH - 39; C&S - 6",3
"EtOH - 39; skeleton - 2",3
"EtOH - 390",3
"EtOH - 393",3
"EtOH - 400",3
"EtOH - 401",3
"EtOH - 408",3
"EtOH - 409",3
"EtOH - 410",3
"EtOH - 413",3
"EtOH - 419",3
"EtOH - 42; C&S - 2",3
"EtOH - 429",3
"EtOH - 43; C&S - 2",3
"EtOH - 43; C&S - 5",3
"EtOH - 430",3
"EtOH - 433",3
"EtOH - 435",3
"EtOH - 438",3
"EtOH - 44; C&S - 3",3
"EtOH - 44; skeleton - 1",3
"EtOH - 444",3
"EtOH - 449",3
"EtOH - 45; skeleton - 1",3
"EtOH - 451",3
"EtOH - 46; C&S - 2",3
"EtOH - 46; C&S - 5",3
"EtOH - 46; skeleton - 1",3
"EtOH - 463",3
"EtOH - 468",3
"EtOH - 469",3
"EtOH - 47; C&S - 5",3
"EtOH - 476",3
"EtOH - 477",3
"EtOH - 480",3
"EtOH - 481",3
"EtOH - 490",3
"EtOH - 5; C&S - 4",3
"EtOH - 506",3
"EtOH - 508",3
"EtOH - 509",3
"EtOH - 515",3
"EtOH - 518",3
"EtOH - 519",3
"EtOH - 52; C&S - 2",3
"EtOH - 52; C&S - 4",3
"EtOH - 526",3
"EtOH - 529",3
"EtOH - 536",3
"EtOH - 537",3
"EtOH - 54; C&S - 6",3
"EtOH - 543",3
"EtOH - 544",3
"EtOH - 566",3
"EtOH - 59; C&S - 5",3
"EtOH - 6; C&S - 3",3
"EtOH - 6; skeleton - 4",3
"EtOH - 61; C&S - 2",3
"EtOH - 613",3
"EtOH - 630",3
"EtOH - 64; C&S - 5",3
"EtOH - 65; C&S - 2",3
"EtOH - 65; C&S - 5",3
"EtOH - 653",3
"EtOH - 667",3
"EtOH - 691",3
"EtOH - 7; skeleton - 3",3
"EtOH - 7; skeleton - 4",3
"EtOH - 70; C&S - 5",3
"EtOH - 707",3
"EtOH - 709",3
"EtOH - 737",3
"EtOH - 75; C&S - 2",3
"EtOH - 8; skeleton - 6",3
"EtOH - 822",3
"EtOH - 858",3
"EtOH - 87; C&S - 5",3
"EtOH - 88; C&S - 2",3
"EtOH - 9; C&S - 3",3
"EtOH - 9; skeleton - 2",3
"EtOH - 9; skeleton - 4",3
"EtOH - 92; C&S - 3",3
"EtOH | Skeleton | Cleared & Stained",3
"skeleton - 16",3
"skeleton - 17",3
"skeleton - 18",3
"skeleton - 27",3
"skeleton - 99",3
"C&S - 1; skeleton - 1; EtOH - 2",2
"C&S - 1; skeleton - 1; EtOH - 3",2
"C&S - 1; skeleton - 1; EtOH - 6",2
"C&S - 1; skeleton - 1; EtOH - 8",2
"C&S - 11",2
"C&S - 16",2
"EtOH - 1; C&S - 3",2
"EtOH - 10; C&S - 4",2
"EtOH - 10; C&S - 5",2
"EtOH - 10; skeleton - 3",2
"EtOH - 100; C&S - 4",2
"EtOH - 1000",2
"EtOH - 1010",2
"EtOH - 102; C&S - 3",2
"EtOH - 103; C&S - 2",2
"EtOH - 1040",2
"EtOH - 107; C&S - 6",2
"EtOH - 11; C&S - 5",2
"EtOH - 110; C&S - 2",2
"EtOH - 113; C&S - 2",2
"EtOH - 116; C&S - 1",2
"EtOH - 116; C&S - 3",2
"EtOH - 118; C&S - 3",2
"EtOH - 12; C&S - 4",2
"EtOH - 12; skeleton - 2",2
"EtOH - 120; C&S - 3",2
"EtOH - 121; C&S - 1",2
"EtOH - 125; C&S - 4",2
"EtOH - 128; C&S - 1",2
"EtOH - 128; C&S - 4",2
"EtOH - 13; C&S - 5",2
"EtOH - 13; skeleton - 2",2
"EtOH - 136; C&S - 3",2
"EtOH - 14; skeleton - 3",2
"EtOH - 142; C&S - 6",2
"EtOH - 144; C&S - 6",2
"EtOH - 161; C&S - 5",2
"EtOH - 165; C&S - 3",2
"EtOH - 17; C&S - 5",2
"EtOH - 17; C&S - 6",2
"EtOH - 17; skeleton - 3",2
"EtOH - 18; skeleton - 5",2
"EtOH - 188; C&S - 1",2
"EtOH - 189; C&S - 6",2
"EtOH - 189; skeleton - 1",2
"EtOH - 19; C&S - 4",2
"EtOH - 19; C&S - 5",2
"EtOH - 19; C&S - 6",2
"EtOH - 19; skeleton - 3",2
"EtOH - 2; C&S - 5",2
"EtOH - 2; skeleton - 5",2
"EtOH - 2; skeleton - 6",2
"EtOH - 21; C&S - 7",2
"EtOH - 21; skeleton - 25",2
"EtOH - 21; skeleton - 4",2
"EtOH - 213; C&S - 5",2
"EtOH - 22; skeleton - 3",2
"EtOH - 23; C&S - 6",2
"EtOH - 2415",2
"EtOH - 25; C&S - 6",2
"EtOH - 25; skeleton - 1",2
"EtOH - 26; C&S - 2",2
"EtOH - 27; C&S - 2",2
"EtOH - 27; skeleton - 1",2
"EtOH - 28; C&S - 1",2
"EtOH - 28; C&S - 4",2
"EtOH - 28; skeleton - 1",2
"EtOH - 296; C&S - 4",2
"EtOH - 298",2
"EtOH - 3; skeleton - 5",2
"EtOH - 30; C&S - 10",2
"EtOH - 30; C&S - 2",2
"EtOH - 30; C&S - 4",2
"EtOH - 302",2
"EtOH - 305",2
"EtOH - 31; skeleton - 1",2
"EtOH - 310",2
"EtOH - 310; C&S - 4",2
"EtOH - 311",2
"EtOH - 315",2
"EtOH - 32; C&S - 1",2
"EtOH - 32; skeleton - 4",2
"EtOH - 33; C&S - 1",2
"EtOH - 33; C&S - 5",2
"EtOH - 331",2
"EtOH - 347",2
"EtOH - 354",2
"EtOH - 358",2
"EtOH - 36; C&S - 4",2
"EtOH - 361",2
"EtOH - 366",2
"EtOH - 37; C&S - 1",2
"EtOH - 37; C&S - 3",2
"EtOH - 372",2
"EtOH - 374",2
"EtOH - 375",2
"EtOH - 377",2
"EtOH - 38; C&S - 3",2
"EtOH - 38; C&S - 4",2
"EtOH - 380",2
"EtOH - 39; C&S - 1",2
"EtOH - 392",2
"EtOH - 394",2
"EtOH - 396",2
"EtOH - 4; skeleton - 4",2
"EtOH - 40; C&S - 5",2
"EtOH - 40; C&S - 6",2
"EtOH - 404",2
"EtOH - 405",2
"EtOH - 406",2
"EtOH - 407",2
"EtOH - 41; C&S - 1",2
"EtOH - 41; C&S - 2",2
"EtOH - 41; C&S - 4",2
"EtOH - 418",2
"EtOH - 42; C&S - 3",2
"EtOH - 42; C&S - 4",2
"EtOH - 420",2
"EtOH - 422",2
"EtOH - 424",2
"EtOH - 426",2
"EtOH - 428",2
"EtOH - 43; C&S - 1",2
"EtOH - 440",2
"EtOH - 443",2
"EtOH - 446",2
"EtOH - 448",2
"EtOH - 45; C&S - 1",2
"EtOH - 45; C&S - 3",2
"EtOH - 452",2
"EtOH - 455",2
"EtOH - 457",2
"EtOH - 46; C&S - 3",2
"EtOH - 462",2
"EtOH - 464",2
"EtOH - 47; C&S - 1",2
"EtOH - 47; C&S - 2",2
"EtOH - 47; C&S - 3",2
"EtOH - 47; C&S - 8",2
"EtOH - 472",2
"EtOH - 48; C&S - 2",2
"EtOH - 48; C&S - 3",2
"EtOH - 483",2
"EtOH - 484",2
"EtOH - 49; C&S - 1",2
"EtOH - 491",2
"EtOH - 492",2
"EtOH - 495",2
"EtOH - 497",2
"EtOH - 5; C&S - 5",2
"EtOH - 50; C&S - 4",2
"EtOH - 503",2
"EtOH - 505",2
"EtOH - 51; C&S - 1",2
"EtOH - 51; C&S - 3",2
"EtOH - 513; C&S - 3",2
"EtOH - 52; C&S - 3",2
"EtOH - 521",2
"EtOH - 528",2
"EtOH - 53; C&S - 4",2
"EtOH - 532",2
"EtOH - 535",2
"EtOH - 538",2
"EtOH - 54; C&S - 8",2
"EtOH - 545",2
"EtOH - 546",2
"EtOH - 549",2
"EtOH - 553",2
"EtOH - 557; C&S - 10",2
"EtOH - 56; C&S - 4",2
"EtOH - 568",2
"EtOH - 57; C&S - 3",2
"EtOH - 570",2
"EtOH - 576",2
"EtOH - 578",2
"EtOH - 58; C&S - 3",2
"EtOH - 58; skeleton - 1",2
"EtOH - 586",2
"EtOH - 588",2
"EtOH - 59; C&S - 1",2
"EtOH - 59; C&S - 2",2
"EtOH - 590",2
"EtOH - 6; skeleton - 3",2
"EtOH - 60; C&S - 1",2
"EtOH - 61; C&S - 1",2
"EtOH - 615",2
"EtOH - 616",2
"EtOH - 62; C&S - 2",2
"EtOH - 62; C&S - 3",2
"EtOH - 620",2
"EtOH - 623",2
"EtOH - 628",2
"EtOH - 63; C&S - 2",2
"EtOH - 63; C&S - 4",2
"EtOH - 63; C&S - 5",2
"EtOH - 637",2
"EtOH - 64; C&S - 3",2
"EtOH - 646",2
"EtOH - 65; C&S - 3",2
"EtOH - 650",2
"EtOH - 651",2
"EtOH - 656",2
"EtOH - 66; C&S - 3",2
"EtOH - 661",2
"EtOH - 665",2
"EtOH - 675",2
"EtOH - 68; skeleton - 1",2
"EtOH - 684",2
"EtOH - 7; skeleton - 12",2
"EtOH - 70; C&S - 3",2
"EtOH - 71; C&S - 2",2
"EtOH - 71; skeleton - 1",2
"EtOH - 715",2
"EtOH - 72; C&S - 2",2
"EtOH - 72; C&S - 3",2
"EtOH - 72; skeleton - 1",2
"EtOH - 723",2
"EtOH - 726",2
"EtOH - 73; C&S - 2",2
"EtOH - 736",2
"EtOH - 74; C&S - 2",2
"EtOH - 745",2
"EtOH - 746",2
"EtOH - 75; C&S - 3",2
"EtOH - 76; C&S - 4",2
"EtOH - 77; C&S - 2",2
"EtOH - 77; C&S - 3",2
"EtOH - 77; C&S - 5",2
"EtOH - 78; C&S - 2",2
"EtOH - 78; C&S - 3",2
"EtOH - 79; C&S - 2",2
"EtOH - 79; C&S - 3",2
"EtOH - 79; C&S - 5",2
"EtOH - 792",2
"EtOH - 8; C&S - 4",2
"EtOH - 8; skeleton - 3",2
"EtOH - 80; C&S - 2",2
"EtOH - 80; C&S - 3",2
"EtOH - 81; C&S - 4",2
"EtOH - 82; C&S - 4",2
"EtOH - 823",2
"EtOH - 828",2
"EtOH - 837",2
"EtOH - 852",2
"EtOH - 857",2
"EtOH - 9; skeleton - 5",2
"EtOH - 9; skeleton - 7",2
"EtOH - 901",2
"EtOH - 91; C&S - 2",2
"EtOH - 91; C&S - 3",2
"EtOH - 93; C&S - 2",2
"EtOH - 932",2
"EtOH - 94; C&S - 5",2
"EtOH - 94; skeleton - 3",2
"EtOH - 95; C&S - 5",2
"EtOH - 980",2
"EtOH - 996",2
"skeleton - 21",2
"skeleton - 22",2
"skeleton - 26",2
"skeleton - 34",2
"C&S - 1; EtOH - 2",1
"C&S - 1; skeleton - 1; EtOH - 10",1
"C&S - 1; skeleton - 1; EtOH - 11",1
"C&S - 1; skeleton - 1; EtOH - 12",1
"C&S - 1; skeleton - 1; EtOH - 15",1
"C&S - 1; skeleton - 1; EtOH - 17",1
"C&S - 1; skeleton - 1; EtOH - 25",1
"C&S - 1; skeleton - 1; EtOH - 39",1
"C&S - 1; skeleton - 1; EtOH - 7",1
