"Typestatus","Count"
"paratype of leptodoras linnelli",2
"paratype of liparis inquilinus",2
"paratype of malapterurus gossei",2
"paratype of mastacembelus aviceps",2
"paratype of metynnis cuiaba",2
"paratype of myxine mccoskeri",2
"paratype of nannobrachium phyllisae",2
"paratype of nannostomus marginatus",2
"paratype of nannothrissa stewarti",2
"paratype of nanochromis parilus| voucher of nanochromis parilus",2
"paratype of nanochromis splendens| voucher of nanochromis splendens",2
"paratype of noemacheilus poculi",2
"paratype of notoscopelus (pareiophus) bolini",2
"paratype of notropis girardi",2
"paratype of ogcocephalus corniger",2
"paratype of ogcocephalus pantostictus",2
"paratype of oligosarcus robustus",2
"paratype of ophidion metoecus",2
"paratype of opisthonema medirastre",2
"paratype of pachycara caribbaeum",2
"paratype of paratrachichthys argyrophanus",2
"paratype of peristedion greyae",2
"paratype of phenacogaster megalostictus",2
"paratype of phenacostethus posthon",2
"paratype of photostomias lucingens",2
"paratype of pimelodella macturki",2
"paratype of polydactylus persicus",2
"paratype of polyipnus limatulus",2
"paratype of pseudoraja atlantica",2
"paratype of raja cervigoni",2
"paratype of rhabdolichops electrogrammus",2
"paratype of rhinoraja longi",2
"paratype of roeboides sazimai",2
"paratype of rosenblattia robusta",2
"paratype of saurenchelys cognita",2
"paratype of schistura robertsi",2
"paratype of schizodon jacuiensis",2
"paratype of stegostoma varium",2
"paratype of tylochromis pulcher",2
"paratype of ventrifossa mucocephalus",2
"paratype of xenengraulis spinidens| voucher of xenengraulis spinidens",2
"paratype? of hybognathus hankinsoni",2
"syntype of abeona aurora",2
"syntype of alburnus lineolatus",2
"syntype of alepocephalus asperifrons",2
"syntype of alepocephalus fundulus",2
"syntype of amblodon lineatus",2
"syntype of anostomus proximus| paralectotype of anostomus proximus",2
"syntype of antimora rhina",2
"syntype of arius grandoculis",2
"syntype of astroblepus mancoi",2
"syntype of astyanacinus multidens| syntype of astyanax multidens",2
"syntype of astyanax asymmetricus",2
"syntype of astyanax fasciatus parahybae",2
"syntype of astyanax zonatus",2
"syntype of bassozetus nasus| paralectotype of bassozetus nasus",2
"syntype of bathypterois ventralis",2
"syntype of boleosoma barratti",2
"syntype of boleosoma lepida",2
"syntype of bryttus gloriosus",2
"syntype of callionymus atrilabiatus",2
"syntype of caranx secundus| syntype of caranx secundus",2
"syntype of catonotus lineolatus| lectotype of catonotus lineolatus",2
"syntype of catostomus nebuliferus",2
"syntype of catostomus plebeius| paralectotype of catostomus plebeius",2
"syntype of catulus duhamelii",2
"syntype of centrolophus peruanus",2
"syntype of centroscyllium nigrum",2
"syntype of cestreus praedatorius",2
"syntype of chaetostomus vittatus",2
"syntype of chalcinus angulatus curtus",2
"syntype of chauliodus barbatus",2
"syntype of cottus franklini",2
"syntype of curimatus elegans bahiensis| paralectotype of curimatus elegans bahiensis",2
"syntype of curimatus lepidurus| paralectotype of curimatus lepidurus",2
"syntype of curimatus macrops| paralectotype of curimatus macrops",2
"syntype of curimatus ocellatus| paralectotype of curimatus ocellatus",2
"syntype of cyclothone acclinidens",2
"syntype of cyprinella rubripinna| syntype of notropis garmani",2
"syntype of cyprinodon macularius",2
"syntype of dicrolene introniger",2
"syntype of erythrinus kessleri",2
"syntype of etheostoma olmstedi",2
"syntype of etropus ectenes",2
"syntype of farlowella carinata| paralectotype of farlowella carinata",2
"syntype of fundulus tenellus",2
"syntype of fundulus xenicus",2
"syntype of gambusia punctata",2
"syntype of gambusia tridentiger",2
"syntype of gasterosteus nebulosus",2
"syntype of genyanemus brasiliensis",2
"syntype of gila conspersa",2
"syntype of girardinus creolus",2
"syntype of girardinus sonoriensis",2
"syntype of haemulon luteum",2
"syntype of haemulon obtusum",2
"syntype of halieutichthys caribbaeus",2
"syntype of halosaurus radiatus",2
"syntype of haplochilus floripinnis",2
"syntype of hemigrammus cupreus",2
"syntype of hisonotus notatus",2
"syntype of holocentrum elongatum",2
"syntype of holocentrum perlatum",2
"syntype of hyborhynchus nigellus",2
"syntype of julis lucasanus",2
"syntype of laemonema gracillipes| voucher of laemonema gracillipes| voucher of laemonema gracillipes",2
"syntype of lamprogrammus illustris",2
"syntype of leptophycis filifer",2
"syntype of liopropoma longilepis",2
"syntype of lycodes anguis| paralectotype of lycodes anguis",2
"syntype of lycodes paxilloides",2
"syntype of lycodes serpens",2
"syntype of macrurus asper",2
"syntype of macrurus bucephalus| paralectotype of macrurus bucephalus",2
"syntype of macrurus convergens",2
"syntype of macrurus gracillicauda",2
"syntype of macrurus loricatus",2
"syntype of malthopsis sparsa",2
"syntype of malthopsis sparsa| paralectotype of malthopsis sparsa",2
"syntype of moenkhausia lepidurus icae",2
"syntype of monolene maculipinna",2
"syntype of morrhua americana",2
"syntype of mugil lebranchus",2
"syntype of myctophum aurolaternatum",2
"syntype of myxine circifrons",2
"syntype of noturus marginatus",2
"syntype of oncopterus darwinii",2
"syntype of pagellus caninus",2
"syntype of pagellus humilis",2
"syntype of physiculus longipes",2
"syntype of pileoma zebra",2
"syntype of plargyrus melanocephalus",2
"syntype of platystoma parahybae| voucher of platystoma parahybae",2
"syntype of polyprion knerii",2
"syntype of pomacentrus denegatus| syntype of pomacentrus denegatus",2
"syntype of pomotis chaetodon",2
"syntype of porogadus breviceps",2
"syntype of potamotrygon circularis",2
"syntype of potamotrygon signatus",2
"syntype of pristipoma cultriferum",2
"syntype of pseudogobio filifer",2
"syntype of pseudopimelodus parahybae",2
"syntype of pseudoplatystoma fasciatum nigricans| voucher of pseudoplatystoma punctifer",2
"syntype of pseudoscarus lineolatus| syntype of pseudoscarus lineolatus",2
"syntype of raia stabuliforis",2
"syntype of raja plutonia",2
"syntype of rhinichthys arenatus",2
"syntype of rhinichthys marmoratus",2
"syntype of rhinichthys obtusus",2
"syntype of rhinichthys ocella",2
"syntype of salmo siscowet",2
"syntype of saraca opercularis",2
"syntype of sargus pourtalesii",2
"syntype of scarus squalidus| syntype of scarus squalidus",2
"syntype of serranus apiarius",2
"syntype of serranus jacome| syntype of serranus jacome",2
"syntype of serranus phoebe| syntype of serranus phoebe",2
"syntype of siboma atraria longiceps",2
"syntype of steindachneria doceana| voucher of steindachneria doceana",2
"syntype of tetragonopterus collettii",2
"syntype of tigoma nigrescens",2
"syntype of tigoma rhinichthyoides",2
"syntype of tilapia fasciata tanganaicae",2
"syntype of trichiurus nitens",2
"syntype of tridens melanops| voucher of tridens melanops",2
"syntype of trifarcius felicianus| syntype of trifarcius felicianus",2
"syntype of xenichthys agassizii",2
"syntype of xenichthys californiensis",2
"syntype of xenocypris nitidus",2
"syntype of zygonectes lineatus",2
"syntype? of engraulis perfasciatus",2
"syntype? of halieutaea spongiosa",2
"type of acipenser (antaceus) ayresii",2
"voucher of acantharchus pomotis",2
"voucher of aphanotorulus unicolor",2
"voucher of apogon exostigma",2
"voucher of apogon taeniophorus",2
"voucher of apogon truncatus",2
"voucher of astronesthes niger",2
"voucher of auchenipterichthys longimanus",2
"voucher of baldwinella aureorubens",2
"voucher of batrachoides boulengeri",2
"voucher of batrachoides surinamensis",2
"voucher of batrachus pacifici",2
"voucher of benthosema glaciale",2
"voucher of benthosema pterotum",2
"voucher of beryx decadactylus",2
"voucher of bolinichthys photothorax",2
"voucher of bolinichthys supralateralis",2
"voucher of brachyhypopomus brevirostris",2
"voucher of callochromis pleurospilus",2
"voucher of centrobranchus nigroocellatus",2
"voucher of centropomus viridis",2
"voucher of chaca bankanensis",2
"voucher of chimaera cubana",2
"voucher of chlamydoselachus anguineus",2
"voucher of copadichromis quadrimaculatus",2
"voucher of creagrutus flavescens",2
"voucher of cyclothone",2
"voucher of dasyatis americana",2
"voucher of diaphus brachycephalus",2
"voucher of diaphus holti",2
"voucher of diaphus hudsoni",2
"voucher of diaphus luetkeni",2
"voucher of diaphus mollis",2
"voucher of diaphus ostenfeldi",2
"voucher of diaphus problematicus",2
"voucher of diaphus signatus",2
"voucher of diaphus termophilus",2
"voucher of dicrolene",2
"voucher of diplotaxodon argenteus",2
"voucher of diretmoides pauciradiatus",2
"voucher of dolichopteroides binocularis",2
"voucher of echidna catenata",2
"voucher of echiostoma barbatum",2
"voucher of ectodus descampsii",2
"voucher of electrona risso",2
"voucher of flagellostomias boureei",2
"voucher of fundulus heteroclitus",2
"voucher of gigantura indica",2
"voucher of gobiesox adustus",2
"voucher of gonichthys barnesi",2
"voucher of gymnocorymbus bondi",2
"voucher of gymnoscopelus braueri",2
"voucher of haemulon jeniguano",2
"voucher of hemirhamphodon pogonognathus",2
"voucher of hygophum taaningi",2
"voucher of hymenocephalus billsam",2
