"dwc.preparations","freq"
"734 alc; 0 sk; 0 c&s",2
"8 alc; 0 sk; 4 c&s",2
"8 alc; 0 sk; 6 c&s",2
"8 alc; 1 sk; 0 c&s",2
"802 alc; 0 sk; 0 c&s",2
"803 alc; 0 sk; 0 c&s",2
"808 alc; 0 sk; 0 c&s",2
"822 alc; 0 sk; 0 c&s",2
"867 alc; 0 sk; 0 c&s",2
"870 alc; 0 sk; 0 c&s",2
"883 alc; 0 sk; 0 c&s",2
"9 alc; 0 sk; 4 c&s",2
"99 alc; 0 sk; 5 c&s",2
"0 alc; 0 sk; 11 c&s",1
"0 alc; 0 sk; 14 c&s",1
"0 alc; 0 sk; 20 c&s",1
"0 alc; 0 sk; 9 c&s",1
"0 alc; 1 sk; 1 c&s",1
"0 alc; 10 sk; 0 c&s",1
"0 alc; 12 sk; 0 c&s",1
"0 alc; 14 sk; 0 c&s",1
"0 alc; 24 sk; 0 c&s",1
"0 alc; 54 sk; 0 c&s",1
"0 alc; 8 sk; 0 c&s",1
"1 alc; 0 sk; 8 c&s",1
"1 alc; 4 sk; 0 c&s",1
"1 alc; 5 sk; 0 c&s",1
"1 alc; 7 sk; 0 c&s",1
"10 alc; 0 sk; 5 c&s",1
"10 alc; 0 sk; 9 c&s",1
"100 alc; 0 sk; 1 c&s",1
"100 alc; 0 sk; 3 c&s",1
"100 alc; 0 sk; 5 c&s",1
"100 alc; 0 sk; 6 c&s",1
"100 alc; 0 sk; 7 c&s",1
"1005 alc; 0 sk; 0 c&s",1
"1010 alc; 0 sk; 0 c&s",1
"1022 alc; 0 sk; 0 c&s",1
"1031 alc; 0 sk; 0 c&s",1
"1032 alc; 0 sk; 0 c&s",1
"104 alc; 0 sk; 4 c&s",1
"1047 alc; 0 sk; 0 c&s",1
"1055 alc; 0 sk; 0 c&s",1
"1069 alc; 0 sk; 0 c&s",1
"1077 alc; 0 sk; 0 c&s",1
"1092 alc; 0 sk; 0 c&s",1
"11 alc; 0 sk; 3 c&s",1
"11 alc; 2 sk; 0 c&s",1
"11 alc; 4 sk; 0 c&s",1
"1103 alc; 0 sk; 0 c&s",1
"111 alc; 0 sk; 7 c&s",1
"112 alc; 0 sk; 3 c&s",1
"1121 alc; 0 sk; 0 c&s",1
"1134 alc; 0 sk; 0 c&s",1
"1135 alc; 0 sk; 0 c&s",1
"1139 alc; 0 sk; 0 c&s",1
"114 alc; 0 sk; 2 c&s",1
"1141 alc; 0 sk; 0 c&s",1
"1158 alc; 0 sk; 0 c&s",1
"1165 alc; 0 sk; 0 c&s",1
"1176 alc; 0 sk; 0 c&s",1
"118 alc; 0 sk; 5 c&s",1
"1181 alc; 0 sk; 0 c&s",1
"1183 alc; 0 sk; 0 c&s",1
"1193 alc; 0 sk; 0 c&s",1
"12 alc; 0 sk; 10 c&s",1
"12 alc; 0 sk; 4 c&s",1
"12 alc; 0 sk; 7 c&s",1
"1201 alc; 0 sk; 0 c&s",1
"1223 alc; 0 sk; 0 c&s",1
"1224 alc; 0 sk; 0 c&s",1
"1228 alc; 0 sk; 0 c&s",1
"123 alc; 0 sk; 1 c&s",1
"1277 alc; 0 sk; 0 c&s",1
"1280 alc; 0 sk; 0 c&s",1
"1282 alc; 0 sk; 0 c&s",1
"1292 alc; 0 sk; 0 c&s",1
"13 alc; 0 sk; 4 c&s",1
"1301 alc; 0 sk; 0 c&s",1
"1319 alc; 0 sk; 0 c&s",1
"133 alc; 0 sk; 3 c&s",1
"1334 alc; 0 sk; 0 c&s",1
"1336 alc; 0 sk; 0 c&s",1
"1349 alc; 0 sk; 0 c&s",1
"1351 alc; 0 sk; 0 c&s",1
"13517 alc; 0 sk; 0 c&s",1
"138 alc; 0 sk; 2 c&s",1
"1384 alc; 0 sk; 0 c&s",1
"1387 alc; 0 sk; 0 c&s",1
"1398 alc; 0 sk; 0 c&s",1
"14 alc; 0 sk; 4 c&s",1
"14 alc; 0 sk; 6 c&s",1
"14 alc; 0 sk; 7 c&s",1
"1400 alc; 0 sk; 0 c&s",1
"1406 alc; 0 sk; 0 c&s",1
"141 alc; 0 sk; 5 c&s",1
"1445 alc; 0 sk; 0 c&s",1
"1449 alc; 0 sk; 0 c&s",1
"1461 alc; 0 sk; 0 c&s",1
"1465 alc; 0 sk; 0 c&s",1
"1496 alc; 0 sk; 0 c&s",1
"1571 alc; 0 sk; 0 c&s",1
"1572 alc; 0 sk; 0 c&s",1
"1573 alc; 0 sk; 0 c&s",1
"1590 alc; 0 sk; 0 c&s",1
"16 alc; 0 sk; 3 c&s",1
"16 alc; 1 sk; 0 c&s",1
"161 alc; 0 sk; 5 c&s",1
"1611 alc; 0 sk; 0 c&s",1
"1629 alc; 0 sk; 0 c&s",1
"164 alc; 0 sk; 4 c&s",1
"1665 alc; 0 sk; 0 c&s",1
"1692 alc; 0 sk; 0 c&s",1
"17 alc; 0 sk; 3 c&s",1
"17 alc; 0 sk; 4 c&s",1
"1730 alc; 0 sk; 0 c&s",1
"1747 alc; 0 sk; 0 c&s",1
"1750 alc; 0 sk; 0 c&s",1
"1751 alc; 0 sk; 0 c&s",1
"18 alc; 0 sk; 4 c&s",1
"18 alc; 0 sk; 5 c&s",1
"18 alc; 0 sk; 6 c&s",1
"1800 alc; 0 sk; 0 c&s",1
"1836 alc; 0 sk; 0 c&s",1
"185 alc; 0 sk; 2 c&s",1
"19 alc; 0 sk; 13 c&s",1
"19 alc; 0 sk; 4 c&s",1
"19 alc; 0 sk; 6 c&s",1
"191 alc; 0 sk; 1 c&s",1
"1939 alc; 0 sk; 0 c&s",1
"195 alc; 0 sk; 5 c&s",1
"197 alc; 0 sk; 2 c&s",1
"197 alc; 0 sk; 3 c&s",1
"2 alc; 3 sk; 0 c&s",1
"20 alc; 0 sk; 5 c&s",1
"2016 alc; 0 sk; 0 c&s",1
"2024 alc; 0 sk; 0 c&s",1
"2087 alc; 0 sk; 0 c&s",1
"2092 alc; 0 sk; 0 c&s",1
"21 alc; 0 sk; 7 c&s",1
"211 alc; 0 sk; 0 c&s",1
"213 alc; 0 sk; 4 c&s",1
"2178 alc; 0 sk; 0 c&s",1
"218 alc; 0 sk; 3 c&s",1
"22 alc; 0 sk; 2 c&s",1
"22 alc; 0 sk; 3 c&s",1
"22 alc; 0 sk; 4 c&s",1
"220 alc; 0 sk; 0 c&s",1
"2215 alc; 0 sk; 0 c&s",1
"223 alc; 0 sk; 0 c&s",1
"2234 alc; 0 sk; 0 c&s",1
"2245 alc; 0 sk; 0 c&s",1
"225 alc; 0 sk; 0 c&s",1
"2264 alc; 0 sk; 0 c&s",1
"2292 alc; 0 sk; 0 c&s",1
"23 alc; 0 sk; 3 c&s",1
"231 alc; 0 sk; 1 c&s",1
"24 alc; 0 sk; 2 c&s",1
"244 alc; 0 sk; 1 c&s",1
"2444 alc; 0 sk; 0 c&s",1
"249 alc; 0 sk; 0 c&s",1
"2491 alc; 0 sk; 0 c&s",1
"25 alc; 0 sk; 1 c&s",1
"25 alc; 0 sk; 5 c&s",1
"253 alc; 0 sk; 0 c&s",1
"254 alc; 0 sk; 0 c&s",1
"259 alc; 0 sk; 0 c&s",1
"26 alc; 0 sk; 1 c&s",1
"26 alc; 0 sk; 4 c&s",1
"260 alc; 0 sk; 0 c&s",1
"2612 alc; 0 sk; 0 c&s",1
"263 alc; 0 sk; 0 c&s",1
"265 alc; 0 sk; 0 c&s",1
"266 alc; 0 sk; 0 c&s",1
"267 alc; 0 sk; 0 c&s",1
"274 alc; 0 sk; 0 c&s",1
"275 alc; 0 sk; 0 c&s",1
"275 alc; 0 sk; 3 c&s",1
