"dwc.preparations","freq"
"70% EtOH - 2; C&S - 5",2
"70% EtOH - 2; frozen (spec) - 2",2
"70% EtOH - 2; frozen (tiss) - 2",2
"70% EtOH - 2; Skel - 1",2
"70% EtOH - 205",2
"70% EtOH - 208",2
"70% EtOH - 213",2
"70% EtOH - 220",2
"70% EtOH - 227",2
"70% EtOH - 23; C&S - 2",2
"70% EtOH - 233",2
"70% EtOH - 241",2
"70% EtOH - 242",2
"70% EtOH - 244",2
"70% EtOH - 246",2
"70% EtOH - 247",2
"70% EtOH - 25; 95% EtOH (spec) - 2",2
"70% EtOH - 255",2
"70% EtOH - 259",2
"70% EtOH - 268",2
"70% EtOH - 270",2
"70% EtOH - 272",2
"70% EtOH - 274",2
"70% EtOH - 275",2
"70% EtOH - 279",2
"70% EtOH - 287",2
"70% EtOH - 289",2
"70% EtOH - 29; frozen to 95% EtOH - 10",2
"70% EtOH - 3; 95% EtOH (spec) - 3",2
"70% EtOH - 3; 95% EtOH (spec) - 4",2
"70% EtOH - 3; 95% EtOH (tiss) - 2",2
"70% EtOH - 30; C&S - 2",2
"70% EtOH - 304",2
"70% EtOH - 305",2
"70% EtOH - 312",2
"70% EtOH - 314",2
"70% EtOH - 320",2
"70% EtOH - 322",2
"70% EtOH - 329",2
"70% EtOH - 33; 95% EtOH (spec) - 3",2
"70% EtOH - 335",2
"70% EtOH - 347",2
"70% EtOH - 349",2
"70% EtOH - 352",2
"70% EtOH - 369",2
"70% EtOH - 381",2
"70% EtOH - 390",2
"70% EtOH - 393",2
"70% EtOH - 394",2
"70% EtOH - 4; 95% EtOH (spec) - 1",2
"70% EtOH - 4; 95% EtOH (tiss) - 2",2
"70% EtOH - 4; 95% EtOH (tiss) - 4",2
"70% EtOH - 4; frozen (spec) - 3",2
"70% EtOH - 418",2
"70% EtOH - 423",2
"70% EtOH - 435",2
"70% EtOH - 447",2
"70% EtOH - 459",2
"70% EtOH - 463",2
"70% EtOH - 493",2
"70% EtOH - 525",2
"70% EtOH - 527",2
"70% EtOH - 552",2
"70% EtOH - 580",2
"70% EtOH - 6; 95% EtOH (spec) - 1",2
"70% EtOH - 6; 95% EtOH (spec) - 2",2
"70% EtOH - 6; 95% EtOH (spec) - 4",2
"70% EtOH - 6; C&S - 2",2
"70% EtOH - 6; C&S - 4",2
"70% EtOH - 674",2
"70% EtOH - 7; 95% EtOH (spec) - 2",2
"70% EtOH - 7; 95% EtOH (spec) - 3",2
"70% EtOH - 7; C&S - 1",2
"70% EtOH - 7; frozen (spec) - 5",2
"70% EtOH - 8; C&S - 1",2
"70% EtOH - 9; 95% EtOH (spec) - 3",2
"70% EtOH - 9; C&S - 2",2
"95% EtOH (spec) - 1; 70% EtOH - 17",2
"95% EtOH (spec) - 1; 70% EtOH - 4",2
"95% EtOH (spec) - 1; 70% EtOH - 5",2
"95% EtOH (spec) - 1; 70% EtOH - 6",2
"95% EtOH (spec) - 1; 70% EtOH - 7",2
"95% EtOH (spec) - 1; 70% EtOH - 9",2
"95% EtOH (spec) - 12",2
