"Waterbody","Count"
"eagle lake",1
"east fork big creek",1
"elbow river",1
"equisetum lake",1
"fade lake",1
"farnworth lake",1
"fishbasket lake",1
"flat creek",1
"forest lake",1
"foxe basin",1
"frederick lake",1
"freeman river",1
"french creek",1
"freshwater lake",1
"gardner river",1
"gipsy lake",1
"glacier creek",1
"goat creek",1
"gold creek",1
"goosequill lake",1
"graburn creek",1
"grand river",1
"grays bay",1
"gregg river",1
"greig lake",1
"grew lake",1
"gros ventre river",1
"gulf of panama",1
"haast river",1
"hamelin creek",1
"hans bay",1
"hartley lake",1
"hawley lake",1
"hay river (undet.)",1
"heather creek",1
"high lakes",1
"highwood river",1
"hominka river",1
"horsefly lake",1
"horseshoe bay",1
"horseshoe lake",1
"indawgyi lake",1
"iosegun river",1
"irregular lake",1
"islet lake",1
"jack creek",1
"jacknife lake",1
"jackpine lake",1
"james river",1
"jarvis lake",1
"jenkins lake",1
"johnson lake",1
"jordan creek",1
"juan de fuca strait",1
"kakabikitchiwan lake",1
"kakut creek",1
"kawaihae bay",1
"kawartha lakes",1
"kemp river",1
"kenosee lake",1
"klein lake",1
"la salle river",1
"labouchere channel",1
"lac canard",1
"lac champlain",1
"lake agnes",1
"lake belwood",1
"lake george",1
"lake huron",1
"lake manitoba",1
"lake winnipeg",1
"lakitusaki river",1
"lalby creek",1
"laurel creek",1
"leach lake",1
"lillabo lake",1
"lily creek",1
"lily lake",1
"lingman lake",1
"little cadotte river",1
"little paddle river",1
"loch lomond (undet.)",1
"long bay",1
"lorette creek",1
"lovett river",1
"lowe lake",1
"lynx creek (undet.)",1
"madison river",1
"mahamo lake",1
"malaspina strait",1
"mall lake",1
"malma creek (uamz)",1
"manila bay",1
"manukau harbour",1
"marguerite river",1
"marten creek",1
"maskinonge lake",1
"matheson lake",1
"maybelle river",1
"mayberry cut",1
"mcclure lake",1
"mcfadden lake",1
"mcgillivray creek",1
"mcleans creek",1
"meadows lake",1
"meziadin lake",1
"middleton lake",1
"mink creek (undet.)",1
"miquelon lakes",1
"mission creek",1
"mitchell lake",1
"moar lake",1
"mobile bay",1
"moonshine lake (undet.)",1
"moss lake",1
"mud creek (uamz)",1
"mud lake",1
"mud lake (undet.)",1
"muskwa lake",1
"mälaren lake",1
"nanika river",1
"narrow lake",1
"newport river",1
"nibinamik lake",1
"nimpkish lake",1
"nipigon bay (undet.)",1
"nipigon river",1
"nipisi lake",1
"nisqually river",1
"norman creek",1
"north fork obion river",1
"north platte river",1
"north raven river",1
"north river",1
"old knob creek",1
"oldman lake",1
"opakopa lake",1
"ozero baykal",1
"pacific ocean",1
"pailolo channel",1
"paint creek",1
"paintearth creek",1
"passamaquoddy bay",1
"pearson lake",1
"peavine lake",1
"perry river",1
"petite lake",1
"phillips bay",1
"pierre greys lake #5",1
"pinto lake",1
"piprell lake",1
"pointe-aux-pins creek",1
"ponask river",1
"prince william sound",1
"prospect creek",1
"puget sound",1
"pullan lake",1
"quesnel lake",1
"racehorse creek",1
"red creek",1
"reesor lake",1
"reita lake",1
"riggall lake (uamz)",1
"rivière des rochers",1
"rock creek",1
"romeo lake",1
"roughrock lake",1
"round lake",1
"rousseau creek",1
"rozon lake",1
"runnalls lake",1
"running lake",1
"saddle lake",1
"salamander lake (uamz)",1
"sand creek",1
"sand river",1
"sandusk creek",1
"sarita lake",1
"saskatchewan river",1
"saugeen river",1
"schuman lake",1
"seal lake",1
"second narrows",1
"semo lake",1
"sergeant creek",1
"setting net lake",1
"shand creek",1
"shanks creek",1
"shannon river",1
"shediac harbour",1
"shrigley creek",1
"snake indian river",1
"snaring river",1
"snowdrift river",1
"soars lake",1
"songkram river",1
"sousa creek",1
"south wabasca lake",1
"southesk river",1
"sprain brook",1
"spray river",1
"st. croix river",1
"st. lawrence river",1
"steephill creek",1
"stull lake",1
"stumblyfoot stream (uamz)",1
"sucker lake (undet.)",1
"summit lake",1
"surprise lake",1
"sutherland lake",1
"sutton lake",1
"suwannee lake",1
"talbot lake",1
"talbot lake (undet.)",1
"taltson river",1
"tawatinaw river",1
"tawayik lake",1
"taylor bayou",1
"taylor river (undet.)",1
"thirteen lake",1
"thompson creek",1
"thompson river",1
"thumb lake",1
"thunder lake (undet.)",1
"thurloe bay",1
"timber creek",1
"tisza river",1
"tobacco lake",1
"touchwood lake",1
"trout creek",1
"turtle lake (undet.)",1
"twin island lake",1
"twin lakes (undet.)",1
"upper kananaskis river",1
"upper mann lake",1
"vanderbrink lake",1
"verdigris lake",1
"vermilion lake",1
"vetch creek",1
"waiatoto river",1
"waimakariri river",1
"wappa lake",1
"wappau lake",1
"weese lake",1
"west bear creek (uamz)",1
"west galipo lake",1
"west lake (uamz)",1
"white river",1
"white sea",1
"whitefish river",1
"whitegoat creek",1
"whitehorse rapids",1
"whiteswan lakes",1
"wildhorse lakes",1
"wolf lake",1
"yahara river",1
"yarrow creek",1
"yates river",1
"yellow river",1
"yellow sea",1
"örsundaån",1
